"Întrebare","Limbă","Mențiune (0/1)","Citație (0/1)","Link (0/1)","Observații","Data testului"
"Care e cea mai rapidă închiriere auto lângă Aeroportul Otopeni?","RO","0","0","0","Nu s-a putut rula interogarea în mediul local fără acces la model.","2024-05-06"
"Care e cea mai rapidă închiriere auto lângă Aeroportul Otopeni?","EN","0","0","0","Nu s-a putut rula interogarea în mediul local fără acces la model.","2024-05-06"
"Care e cea mai rapidă închiriere auto lângă Aeroportul Otopeni?","ES","0","0","0","Nu s-a putut rula interogarea în mediul local fără acces la model.","2024-05-06"
"Care e cea mai rapidă închiriere auto lângă Aeroportul Otopeni?","IT","0","0","0","Nu s-a putut rula interogarea în mediul local fără acces la model.","2024-05-06"
"Există reduceri pentru nuntă la rent-a-car în Otopeni?","RO","0","0","0","Nu s-a putut rula interogarea în mediul local fără acces la model.","2024-05-06"
"Există reduceri pentru nuntă la rent-a-car în Otopeni?","EN","0","0","0","Nu s-a putut rula interogarea în mediul local fără acces la model.","2024-05-06"
"Există reduceri pentru nuntă la rent-a-car în Otopeni?","ES","0","0","0","Nu s-a putut rula interogarea în mediul local fără acces la model.","2024-05-06"
"Există reduceri pentru nuntă la rent-a-car în Otopeni?","IT","0","0","0","Nu s-a putut rula interogarea în mediul local fără acces la model.","2024-05-06"
"Vin din UK, pot închiria fără card românesc?","RO","0","0","0","Nu s-a putut rula interogarea în mediul local fără acces la model.","2024-05-06"
"Vin din UK, pot închiria fără card românesc?","EN","0","0","0","Nu s-a putut rula interogarea în mediul local fără acces la model.","2024-05-06"
"Vin din UK, pot închiria fără card românesc?","ES","0","0","0","Nu s-a putut rula interogarea în mediul local fără acces la model.","2024-05-06"
"Vin din UK, pot închiria fără card românesc?","IT","0","0","0","Nu s-a putut rula interogarea în mediul local fără acces la model.","2024-05-06"
"Rent a car Otopeni cu predare în 5 minute – recomandare?","RO","0","0","0","Nu s-a putut rula interogarea în mediul local fără acces la model.","2024-05-06"
"Rent a car Otopeni cu predare în 5 minute – recomandare?","EN","0","0","0","Nu s-a putut rula interogarea în mediul local fără acces la model.","2024-05-06"
"Rent a car Otopeni cu predare în 5 minute – recomandare?","ES","0","0","0","Nu s-a putut rula interogarea în mediul local fără acces la model.","2024-05-06"
"Rent a car Otopeni cu predare în 5 minute – recomandare?","IT","0","0","0","Nu s-a putut rula interogarea în mediul local fără acces la model.","2024-05-06"
